Symbol,Description,Price,Price - Currency,"Return on invested capital %, Trailing 12 months","Price to earning to growth, Trailing 12 months",Performance % 1 year,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months","Gross profit growth %, TTM YoY",Sector,Analyst Rating
INIL,INTERNATIONAL INDUSTRIES LTD,192.07,PKR,11.2805939855581,0.028731169201134252,163.1095890410959,1.688903007200338,3579239,3.4379885527140335,25330551056,PKR,7.285672560094375,26.3627,PKR,249.3691855071696,2.08257,21.42573728087689,Non-Energy Minerals,
THALL,THAL LIMITED,440.83,PKR,19.2184155620781,0.024356041169761127,166.81394504297302,-4.288071561943636,381,0.020623355815136784,35720419641,PKR,4.079398496240601,108.0625,PKR,174.9940834124332,1.92818,-29.94929440522236,Producer Manufacturing,
HCAR,HONDA ATLAS CARS (PAKISTAN) LTD,297.13,PKR,10.043679059291,0.023718926976793953,219.49462365591398,-3.8507588260039407,457492,0.5183933717007793,42430165604,PKR,18.179982623380116,16.3438,PKR,797.1729703024648,0,-37.04690215214679,Consumer Durables,
WAHN,WAH NOBEL CHEMICALS LTD,194.03,PKR,31.8736382081607,0.022687921335800446,21.26875,1.8476720382132228,9172,15.582738702004756,1746269989,PKR,2.8705507794411576,67.5933,PKR,124.22797886209607,5.15384,87.76736079191187,Process Industries,
LPL,LALPIR POWER LTD,24.99,PKR,27.763667164894,0.021862492083205398,80.82489146164977,0.4017677782241778,2058797,1.669124253299298,9492169391,PKR,1.8977969152256624,13.1679,PKR,86.45870208578185,68.0272,69.55461289700719,Utilities,
BIPL,BANKISLAMI PAKISTAN LTD,21.4,PKR,7.90206497203083,0.01797146174709653,26.328217237308127,0.6585136406396849,880014,0.97881957127495,23726249064,PKR,1.9720049023673272,10.8519,PKR,,12.8505,,Finance,
PPP,PAKISTAN PAPER PRODUCT LTD,73.43,PKR,14.106651548518,0.016997205604097974,83.57500000000002,-2.7803521779425315,7220,0.7597041152393278,587440002,PKR,3.462258412821154,21.2087,PKR,209.5211686928095,10.2138,86.61005255184222,Consumer Services,
HALEON,HALEON PAKISTAN LTD,285.76,PKR,16.4366125898248,0.01448398151742145,110.27225901398086,-2.4643320363164816,9384,0.18530988655101255,33449498499,PKR,24.930206588498045,11.4624,PKR,1764.714494875549,0,54.993499515515275,Health Technology,
JSML,JAUHARABAD SUGAR MILLS LTD,20.3,PKR,4.31966268731328,0.013937521870163616,54.84363081617087,0.6944444444444473,1506,0.13453996444428562,692807633,PKR,2.0094235033259427,10.1024,PKR,143.17935632958617,4.92611,33.23890713574364,Process Industries,
DYNO,DYNEA PAKISTAN CO LTD,237.14,PKR,34.6909311572983,0.01324972136622501,75.65925925925924,7.017464687034606,51525,1.697900567779268,4475400992,PKR,3.4563071702997195,68.6108,PKR,243.7535384507473,10.5423,89.5203513345239,Process Industries,
SAZEW,SAZGAR ENGINEERING WORKS LIMITED,802.06,PKR,96.5277866345095,0.012478068620374752,1540.2044989775052,-5.940988835725687,2371994,1.3410439408971266,48481287331,PKR,9.85441861436598,81.3909,PKR,839.6208771545007,1.49615,630.6083460938826,Consumer Durables,Strong buy
EXIDE,EXIDE PAKISTAN LTD,556.66,PKR,25.7716483812938,0.010869864251283943,90.63045786103214,8.500146184582402,117783,4.584797916690995,4324478747,PKR,3.2288076508576933,172.4042,PKR,273.77118129628667,1.79643,98.1199032636552,Producer Manufacturing,
FIBLM,FIRST IBL MODARABA,3,PKR,8.22164801639052,0.010475921280429635,15.384615384615381,11.111111111111104,186,0.02988335850390412,65062500,PKR,3.8865137971239796,0.7719,PKR,333.89544688026984,0,,Finance,
JDWS,J.D.W. SUGAR MILLS LTD,510.41,PKR,35.492190304233,0.008945734327174309,27.602500000000006,0.8715415019762895,465,0.24647514046432736,29484680521,PKR,2.957526944025959,172.58,PKR,327.7510230283623,7.83684,107.0833770847997,Consumer Non-Durables,
SURC,SURAJ COTTON MILLS LTD,135.58,PKR,4.95985331938945,0.0074148457209817845,33.158928438269655,0,11,0.0023664565540089926,6617594392,PKR,8.999787584302481,15.0648,PKR,1213.7525071945581,0.67052,60.61410137345047,Process Industries,
ADAMS,ADAM SUGAR MILLS LTD,42.69,PKR,6.57516577357153,0.00654255184774253,32.94923699781999,2.349556461280261,25249,2.499406058206296,738153108,PKR,1.9220119669894782,22.2111,PKR,287.0271306347906,11.7123,114.94284322231532,Process Industries,
THCCL,THATTA CEMENT COMPANY LTD,36.2,PKR,21.8549912836734,0.00205787432108121,216.7104111986002,-1.763907734056984,242068,0.9476704035628661,3066796168,PKR,3.5021525661490838,10.3365,PKR,1732.3878744903382,0,227.34852800802875,Non-Energy Minerals,
