2024-03-08 23:33:31,WBTCUSDT,69208.56,"['BUY', 'STRONG_BUY', 'STRONG_BUY', 'BUY', 'STRONG_BUY', 'STRONG_BUY']","[0.31560721, 0.49945828, 0.49945828, 3.19208799, 9.68964365, 13.28351767]","[61.94213387, 66.43208539, 65.56927908, 76.43225454, 88.82978555, None]","[680.23670588, 821.73029412, 2166.23352941, 12331.72835294, 16847.78620588, None]","[0.02841, 1.87272, 1.87272, 27.99124, 191.87425, 294.9157]"
2024-03-08 23:33:50,BCHUSDT,435.9,"['STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY', 'BUY', 'BUY', 'STRONG_BUY']","[0.27605245, 0.55363322, 0.55363322, 0.90277778, -7.35387885, 46.47177419]","[54.73905007, 55.83694105, 55.96313468, 67.85254294, 73.9460063, 62.84827194]","[0.73647059, 2.08294118, -3.02205882, 121.81411765, 78.00441176, 4.55338235]","[314.872, 4302.555, 4302.555, 181367.358, 1495821.486, 3410805.309]"
2024-03-08 23:35:40,RNDRUSDT,10.53,"['BUY', 'BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY']","[-0.29347723, 0.14262622, 0.14262622, 5.69105691, 39.32257211, 39.87778959]","[56.35630973, 65.98250212, 70.65904707, 78.26581074, 90.09090297, 75.25261461]","[0.32757059, 0.58516176, 1.6922, 2.10258529, 3.29040588, None]","[22043.18, 193209.13, 193209.13, 16301672.82, 106928448.64000043, 140899953.27000043]"
2024-03-08 23:49:09,BTCUSDT,69224.14,"['BUY', 'STRONG_BUY', 'STRONG_BUY', 'BUY', 'STRONG_BUY', 'STRONG_BUY']","[0.22386141, 0.52298741, 0.52298741, 3.5930047, 9.68116884, 13.23904835]","[64.04207619, 69.13638639, 66.17155684, 76.02309095, 88.44601423, 76.08953611]","[865.14297059, 808.08867647, 2118.01164706, 12253.92294118, 16922.5305, 13069.61702941]","[226.41594, 4239.41869, 4239.41869, 66956.810682, 416226.766812, 518494.347162]"
2024-03-08 23:49:55,USDCUSDT,0.9977,"['SELL', 'STRONG_SELL', 'SELL', 'STRONG_SELL', 'STRONG_SELL', 'STRONG_SELL']","[0.05013537, -0.01002104, -0.01002104, -0.05008514, -0.18009005, -0.17010206]","[42.9411692, 38.31383868, 38.88573847, 35.23074187, 37.21731373, 38.30265954]","[-0.00057706, -0.00045265, -0.00133912, -0.00139147, 0.00255676, -0.05183941]","[4229371, 51514508, 51514508, 985609054, 5829182098, 7729475025]"
2024-03-08 23:50:11,DOGEUSDT,0.17154,"['BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY']","[0.13426737, 2.29604008, 2.29604008, 8.85208452, 11.77428813, 46.21547903]","[60.58323958, 60.18949383, 58.06730586, 75.42879841, 83.19323288, 63.87767669]","[0.00218626, 0.00542141, 0.00522815, 0.06076524, 0.02825941, -0.02104594]","[10946001, 163379158, 163379158, 4499474360, 34903411140, 52928264304]"
2024-03-08 23:50:18,SHIBUSDT,3.618e-05,"['STRONG_BUY', 'STRONG_BUY', 'BUY', 'BUY', 'STRONG_BUY', 'STRONG_BUY']","[0.8654383, 3.16961736, 3.16961736, 14.85714286, 60.65719361, 188.05732484]","[59.58259857, 61.03044875, 59.28376336, 84.25294716, 92.13697724, 69.91888335]","[6e-08, 1.83e-06, 2.95e-06, 1.921e-05, 6.11e-06, -1.89e-06]","[141487683880, 1002569394115, 1002569394115, 37047046487711.01, 320254997161059.9, 459401025812698.9]"
2024-03-08 23:51:04,WBTCUSDT,69147.11,"['BUY', 'STRONG_BUY', 'STRONG_BUY', 'BUY', 'STRONG_BUY', 'STRONG_BUY']","[0.1318581, 0.48079848, 0.48079848, 3.10046416, 9.59225066, 13.18293369]","[61.87631509, 66.33566275, 65.52315444, 76.37008632, 88.81070115, None]","[768.23294118, 821.73029412, 2166.23352941, 12331.72835294, 16847.78620588, None]","[0.02231, 2.28491, 2.28491, 28.40371, 192.28672, 295.32817]"
2024-03-08 23:53:19,PEPEUSDT,9.39e-06,"['STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY']","[0.8583691, 6.93970421, 6.93970421, 37.68328446, 58.34738617]","[66.00131276, 73.02498263, 70.07749456, 85.45939906, 90.79214028]","[3e-07, 1.23e-06, 1.43e-06, 4.75e-06, 1.5e-06]","[959925734909.9996, 7935364893284.999, 7935364893284.999, 171901416429163.94, 828244264740057.8]"
2024-03-08 23:54:05,BTCUSDT,69034.01,"['BUY', 'STRONG_BUY', 'STRONG_BUY', 'BUY', 'STRONG_BUY', 'STRONG_BUY']","[0.03411056, 0.33267024, 0.33267024, 3.30847769, 9.37992017, 12.92802765]","[62.49434811, 68.1740936, 65.70146051, 75.82979873, 88.38578982, 76.02386031]","[864.62608824, 808.08867647, 2118.01164706, 12253.92294118, 16922.5305, 13069.61702941]","[484.66167, 4497.66442, 4497.66442, 67218.934552, 416488.890682, 518756.471032]"
2024-03-08 23:54:48,USDCUSDT,0.9975,"['SELL', 'STRONG_SELL', 'STRONG_SELL', 'STRONG_SELL', 'STRONG_SELL', 'STRONG_SELL']","[0.01002707, -0.05010522, -0.04008418, -0.08013623, -0.20010005, -0.19011407]","[31.89479385, 34.16139734, 36.77955653, 33.44455188, 36.38223385, 37.53497464]","[-0.00057706, -0.00045265, -0.00133912, -0.00139147, 0.00255676, -0.05183941]","[9376332, 56661469, 56757994, 990973102, 5833359423, 7733652350]"
2024-03-08 23:55:03,DOGEUSDT,0.17026,"['BUY', 'BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY', 'STRONG_BUY']","[-0.53706947, 1.61020992, 1.61020992, 8.09696047, 10.99889229, 45.12444596]","[56.67769799, 58.83525517, 57.4355949, 75.15669156, 83.03909508, 63.71920415]","[0.00211547, 0.00542141, 0.00522815, 0.06076524, 0.02825941, -0.02104594]","[28729822, 181162979, 181162979, 4516013879, 34919950659, 52947056426]"
2024-03-08 23:55:11,SHIBUSDT,3.592e-05,"['STRONG_BUY', 'STRONG_BUY', 'BUY', 'BUY', 'STRONG_BUY', 'STRONG_BUY']","[0.25125628, 2.54140491, 2.54140491, 13.9047619, 59.5026643, 185.98726115]","[57.55956995, 60.05434097, 58.9017506, 84.07577391, 92.07042475, 69.80146006]","[6e-08, 1.83e-06, 2.95e-06, 1.921e-05, 6.11e-06, -1.89e-06]","[250486804306, 1111568514541, 1111568514541, 37156772483425.01, 320377342631045.9, 459523371282684.9]"
2024-03-08 23:55:55,WBTCUSDT,69094.93,"['BUY', 'STRONG_BUY', 'STRONG_BUY', 'BUY', 'STRONG_BUY', 'STRONG_BUY']","[-0.01397881, 0.33445336, 0.33445336, 3.02266218, 9.50954982, 13.09752324]","[60.54337528, 65.5597879, 65.15707723, 76.31703838, 88.79444444, None]","[762.38176471, 821.73029412, 2166.23352941, 12331.72835294, 16847.78620588, None]","[0.06429, 2.32689, 2.32689, 28.44541, 192.32842, 295.36987]"
