Date and Time,Symbol,Summary,W Close,Sell,Neutral,Buy,Volume,ADX,RSI,Last RSI,AO,%Change(D),Support,Resistance,Charts,Financials,Technicals
2024-03-30 02:34:43.027123,FCCL,BUY,17.64,4,9,13,17166611.0,21.98434667,54.95205272,48.30801435,1.86820588,7.29927007,9.328000002,27.01111111333333,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AFCCL,https://www.tradingview.com/symbols/PSX-FCCL/financials-overview/,https://www.tradingview.com/symbols/PSX-FCCL/technicals/
2024-03-30 02:34:43.027123,PSO,BUY,172.54,5,9,12,5128836.0,19.14673008,55.05821888,53.5424966,14.21138235,2.21563981,82.283999998,274.78722222000005,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3APSO,https://www.tradingview.com/symbols/PSX-PSO/financials-overview/,https://www.tradingview.com/symbols/PSX-PSO/technicals/
2024-03-30 02:34:43.027123,CNERGY,NEUTRAL,4.42,8,10,8,61228048.0,33.82142488,51.72176451,53.61128293,0.56117647,-3.07017544,1.9799999979999998,8.232222219999999,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3ACNERGY,https://www.tradingview.com/symbols/PSX-CNERGY/financials-overview/,https://www.tradingview.com/symbols/PSX-CNERGY/technicals/
2024-03-30 02:34:43.027123,BAFL,BUY,52.37,5,8,13,2006843.0,29.33642544,58.44366355,61.07643881,8.793,-2.14872945,25.612000002000002,67.36277778,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3ABAFL,https://www.tradingview.com/symbols/PSX-BAFL/financials-overview/,https://www.tradingview.com/symbols/PSX-BAFL/technicals/
2024-03-30 02:34:43.027123,SEARL,NEUTRAL,52.3,8,10,8,22910799.0,15.20927179,52.87547984,53.00088758,5.00615347,-0.15273005,29.176,77.44,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3ASEARL,https://www.tradingview.com/symbols/PSX-SEARL/financials-overview/,https://www.tradingview.com/symbols/PSX-SEARL/technicals/
2024-03-30 02:34:43.027123,PTC,STRONG_BUY,18.27,0,10,16,167955731.0,41.86799809,74.76289967,67.29195966,4.19823529,24.70989761,3.845999998,21.225555553333333,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3APTC,https://www.tradingview.com/symbols/PSX-PTC/financials-overview/,https://www.tradingview.com/symbols/PSX-PTC/technicals/
2024-03-30 02:34:43.027123,OGDC,BUY,121.65,5,8,13,48412868.0,26.85768805,52.30669059,50.48540248,11.78032353,3.10195779,66.52000000199999,156.60277778,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AOGDC,https://www.tradingview.com/symbols/PSX-OGDC/financials-overview/,https://www.tradingview.com/symbols/PSX-OGDC/technicals/
2024-03-30 02:34:43.027123,PAEL,BUY,22.44,3,10,13,25319334.0,40.18236914,58.35448547,56.61354826,5.34444118,3.21987121,7.142,35.945,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3APAEL,https://www.tradingview.com/symbols/PSX-PAEL/financials-overview/,https://www.tradingview.com/symbols/PSX-PAEL/technicals/
2024-03-30 02:34:43.027123,PIBTL,NEUTRAL,5.71,9,9,8,19763500.0,36.31649549,49.90545668,52.3027228,0.61461765,-3.87205387,2.668,10.905,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3APIBTL,https://www.tradingview.com/symbols/PSX-PIBTL/financials-overview/,https://www.tradingview.com/symbols/PSX-PIBTL/technicals/
2024-03-30 02:34:43.027123,SHEL,NEUTRAL,149.88,7,10,9,4207550.0,19.78111723,51.02513784,55.82386419,5.67317647,-5.03104803,55.598000002000006,237.32111111333333,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3ASHEL,https://www.tradingview.com/symbols/PSX-SHEL/financials-overview/,https://www.tradingview.com/symbols/PSX-SHEL/technicals/
2024-03-30 02:34:43.027123,MLCF,NEUTRAL,35.58,8,8,10,9420346.0,20.39324524,47.74818712,44.24284975,1.30470588,3.22019147,17.247999999999998,56.446666666666665,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3AMLCF,https://www.tradingview.com/symbols/PSX-MLCF/financials-overview/,https://www.tradingview.com/symbols/PSX-MLCF/technicals/
2024-03-30 02:34:43.027123,PPL,BUY,106.15,7,8,11,13200320.0,24.52972989,51.98398539,51.90351832,14.45105882,0.12261837,50.792000001999995,166.77277777999998,https://www.tradingview.com/chart/ZMYE714n/?symbol=PSX%3APPL,https://www.tradingview.com/symbols/PSX-PPL/financials-overview/,https://www.tradingview.com/symbols/PSX-PPL/technicals/
